rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,age,phone_number,soc_sec_id,blocking_number
31691,jack,hemsworxth,1,,,dapto,3044,vic,19780301,29,04 22718532,9252652,5
9291,aidan,bridglsnd,1,waratah street,latrobe vlge,ingham,2602,sa,19371207,31,08 62479325,2149797,6
36831,aurora,balarin,5,hurtle avenue,sunvilla court,broulee,3191,,19210329,,03 30502668,1579659,8
12431,cooper,laver,18,lascelles circuit,broadview,rydelmere,,vic,19021115,,08 33169475,5571450,2
6740,pakita,smith,45,louis loder street,,somers,2117,vic,,30,04 85195579,3467460,6
48400,cheree,cvorkov,13,goble street,bay village,altona,6230,vic,19950131,31,03 67733504,6484619,3
43430,patrick,mead,59,banambila street,,wangaratta,3182,,19810718,20,04 88456829,3305335,3
3030,james,furini,1,enid lorimer circuit,,mackenzie,4216,nsw,19340331,38,04 20226630,2797266,0
7120,karli,burden,116,beckett street,,heidelberg,2168,,19520304,22,04 04016106,6430725,9
1040,tahlia,bonnie,4,wylde place,,mosman park,3013,qld,19980909,29,08 60664081,1339539,9
14540,,sherman,4,baskerville street,the village,rockingham,4017,nsw,19590123,31,02 58380305,2494869,2
14701,madeline,freeman,4,mouat street,,daylesford,5163,wa,19761216,,04 09895984,6001615,8
41000,joel,o'connor,117,albermarle place,imphebong,robinvale,3175,wa,19650327,25,02 10254920,4092473,3
13680,caitlin,denehey,26,currong street,lazy acres,blair athol,2870,tas,19590216,25,02 77674953,2059364,4
31280,callum,carter,12,terry close,,waterfall,3730,tas,,,03 56623154,6853353,1
35651,madeline,hick,,wollaston place,prairielands,bakers swamp,2099,tas,19490403,24,07 05936698,5541436,2
40381,gracie,longin,14,tenison-woods circuit,,middle cove,3447,,19600402,23,08 82950579,7403710,9
10810,hayden,douglass,2,lipman street,flt 1,caringbah,3134,vic,19900730,23,07 74962003,1693840,9
19341,alana,,200,wylie sgreet,north star canavn park,armadale,2488,vic,19130221,31,07 86585645,2567175,3
5381,kyle,maatensz,9,,bromwich,tomerong,4010,nsw,19950815,34,,7016467,0
27090,alyssa,bartlett,53,sturdee crescent,peppin place,leeming,3044,,19400503,34,02 02539694,7586794,3
15680,isabella,carr,10,solander place,merricroft,wongaling beach,2350,qld,19570516,35,03 22773673,3864319,0
18851,brydee,mcnicol,36,goodparla street,,macclesfjield,6401,vic,19220604,,02 39263367,2821485,9
11371,lily,nguyen,11,narrabundaw lane,,girrawheen,4118,sa,19360730,32,07 33356773,2120097,7
42640,luke,faggotter,15,wybalena grove,amp tower,coorparoo,3915,sa,19811012,29,04 34649227,5472907,3
44691,troy,thorpe,,duggan street,ballara,cook,2161,qld,19129428,28,03 29605922,7908234,7
22690,luke,stevens,48,macleay street,,lisarow,2192,vic,19350804,26,04 07389971,1564282,1
12151,trinity,collis,11,pinkerton circuit,fort wallace,yabulj,4213,nsw,19470925,,07 39821373,3322910,6
37471,joel,rosevear,7,medworth crescent,erinvale,molong,3976,vic,19371225,,03 70406697,7553258,2
