rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,age,phone_number,soc_sec_id,blocking_number
3585,emuiky,nicolon,36,sidawajeet,,beacyonhill,2176,nsw,19070807,27,02 69096869,5911105,0
2410,erin,evans,2,wangara street,,gembrook,7248,nsw,19610126,35,04 38935955,8457670,6
970,andrew,,9,elkedra close,north mayfield,wetherill park,4829,vic,19151026,28,07 67261627,2094902,4
5020,emalene,gleeson,280,james street,,greenacre,4680,vic,19620408,36,04 73677657,9379774,0
5290,emiily,austin,306,hodgson crescent,currawong place,mount lawley,0820,nsw,19570105,20,04 92950413,8627858,5
4330,benjamin,ryan,75,wearing street,,manly,7007,qld,19230614,,04 91074648,2939944,0
2910,christina,spiliopoulos,40,lind close,,drummoyne,4211,nsw,19000806,21,07 00848643,2908065,1
1930,hannah,kearsley,12,o'loghlen street,,numurkah,4109,sa,19900317,33,03 45843853,7512595,9
3870,tynan,chant,8,morton street,flt 16,port hedland,2099,act,19220222,28,04 59846928,9947600,8
3583,emiily,nicolzon,326,sidaway street,,beacihll,2176,nsw,19891018,27,02 69096869,5911560,0
5130,sarah,jamieson,36,vagabond crescent,engalia,banora point,3183,vic,19790405,39,02 11071923,6526063,5
5190,jordyn,batts,3,bushby place,,cobram,3909,sa,,27,07 31642849,9796398,7
870,jordan,wilkins,76,foxall street,cheshire,guyra,3453,sa,19920525,,02 52335324,1361002,5
4940,jaxson,scanlan,431,studley street,,belmont,4223,qld,,29,04 55027240,7796330,9
5170,taylah,meech,23,throssell street,,kirribilli,2156,sa,19810420,32,04 12764771,1062120,2
2022,benjamin,costello,87,novar steet,,north rockoampton,5605,nsw,,36,08 40235144,9846392,9
2014,vanfea,velakeg,18,reveley crescent,,bankswn,4223,,19620909,,03 47834190,4551439,8
2050,chelsea,koy,14,jim pike avenue,crowley vlge,page,2066,vic,19330928,,08 40281266,4820940,4
3950,madeleine,elliott,222,house circuit,,west end,2075,,19290517,34,02 35929676,7046069,2
5911,kewlon,boland,011,elliott street,,salisbury park,4435,nsw,19954022,28,03 01647168,6060616,4
5440,kyle,slape,17,lewis luxton avenue,kiah,turrella,2747,qld,19510227,32,08 19436136,1016556,6
4471,mikyxaax,morse,33,londoncircuit,darbyshire,seaforth,2260,nsg,19191127,37,04 43660335,1832816,9
4702,caob,wanzaijwnon,5,ferguson rircuit,ballycara village,,6280,vic,19080327,,08 68136660,1439555,1
4353,aidenn,robprts,4,,,eanota,4017,,,,07 71930097,3258933,7
5730,sarah,beaton,5,streeton drive,,yeppoon,2317,qld,19800930,37,03 90437847,7163134,1
790,jake,baker,10,alston street,,bardon,3222,tas,19180327,29,03 31024855,2878109,2
4484,andrew,sparrow,5,hatfield street,,crad,2674,nsq,19360025,36,03 55640847,1579462,2
4482,andrl,sparrow,48,hatfield street,,cradoc,2646,nsw,19306425,36,03 55640847,1579462,2
1400,allegra,teagle,5,hytten place,,mudgee,2154,sa,19630718,39,07 42646757,6604667,6
5520,sophie,palmer,,alpen street,,gladstone,5107,qld,19880224,,02 08638754,5113675,8
5670,trent,taber,83,bass garden,,buchan,3195,,19390521,31,04 61416163,6651928,3
1130,ebony,vickery,41,beeston street,,mittagong,3051,qld,19600127,,07 49319005,7208795,2
20,brooke,green,12,summers place,anzcor office,modbury,4370,nsw,19720722,26,04 45192901,1879539,9
1410,samantha,skillicorn,34,dalley crescent,,richmond,4218,qld,19531124,,03 07431692,5370805,1
1790,ryan,prider,61,walsh place,,pascoe vale south,2430,sa,19410720,22,07 59971912,7725999,0
