rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,age,phone_number,soc_sec_id,blocking_number
1551,,bowman,174,heard street,,kilcoy,3020,tas,19600323,34,02 39692995,8415743,4
10101,emiily,woolnough,29,namadgi circuit,,sheffiteld,6112,nsw,,,07 56942373,3008147,5
13441,,eikelboom,142,,,whyalla norrie,5024,sa,19600507,20,03 97813703,8117111,5
3731,gabriel,da silva,70,albermarle place,brentwood,bangor,2620,acf,19400210,39,07 63973096,3899186,8
20211,cooper,silins,622,dallachy street,,enfield,4740,vic,,35,,8573437,1
18361,eva,hingstln,3,condamine street,white gums estate,toowoomba,2388,qld,19101008,32,04 16176571,6630315,3
23561,brosie,george,29,gidabal street,,shearwater,2010,nsw,19240422,35,07 47921861,8489409,6
21081,ashleigh,dunning,11,duffy atreet,acf cottages,south perth,4055,qld,,33,04 14076167,4839747,5
7211,sachin,kendall,27,sexton street,,sinlgeton,3065,nsw,19230419,38,02 81895321,8614855,0
20921,ryan,kotz,15,,tuckworth est,jesmond,5071,nsw,19306005,31,04 35387569,6749038,0
4751,sebastian,williams,99,wilshireastreet,,nightcliff,2540,,19920725,25,03 11698790,9738758,6
19621,stephanie,lisaon,31,bundock place,,noble park north,4470,sa,19240109,33,03 24559473,1404171,6
7741,pia,melhuish,22,beazley crescent,bundarryuron,lithgow,3204,vic,19091107,28,,3420802,2
21861,jacf,cole,27,clive steele avenue,valley view,salter point,2650,nsw,19010103,26,07 81555048,3995205,7
20181,mark,addison,40,bingham circuit,,dulacca,4179,nse,19820824,,08 57189746,9168686,3
11171,bethany,wells,511,kelleway avenue,,rowville,4075,vic,19700402,27,04 87643633,2080660,2
19391,clodagh,oakes,10,joyner place,,redferxn,4127,qld,19011127,30,08 36705070,9073431,8
17501,sascha,wyatt,29,launceston street,,sandvate,4735,,19040918,37,07 43828971,2638959,3
10391,james,childs,557,caley crescent,,crookwell,2251,vic,,34,07 54986425,4283305,1
16781,hugh,zervos,3,baird place,,flinders view,5341,act,,34,03 81327666,4268015,5
20451,giuliana,curtis,6,biraban place,glen house,,2262,vic,19160402,,08 20404054,5049372,7
17611,joel,williams,14,dixon drive,,baulkhaxm hills,2072,nsw,19130117,34,03 66949845,5956761,1
4411,joshua,de han,,jalanga crescent,,wollongong north,5344,vic,19050802,30,07 01522223,5462190,0
6431,jemima,lahtz,140,massey street,,cloverdale,3156,vix,19141105,,02 23694251,7070262,9
8271,daniel,anderson,1044,shearer place,,northmead,4118,vic,19800129,02,04 10651732,7584029,1
23351,kimberley,bullard,9,doyle terrace,,berala,4806,,19010803,38,04 45965443,9872691,2
8361,daniel,ranson,56,derrington crescent,,forge freek,3152,nsw,19740121,30,07 67154043,6473631,8
9181,oscar,flett,3961,william hudson crescent,taradale,lara,2168,vic,19880109,24,03 05243039,8301956,5
22611,jordan,d'onofrio,23,rushbrook circuit,flt 6,mittagong,2031,sa,19300522,26,02 95073647,6872601,1
9491,holly,rew,20,namadgi circuit,,dernancourt,3136,w,19020810,23,03 05476902,2144675,2
8391,lachlan,kail,37,hartung crescent,amaroo retrmnt vlge,plumpton,2040,nsw,19110201,,04 60829212,1163226,0
2561,isabella,geore,116,melia place,,bargo,4115,qld,19130415,,04 95217168,5395214,8
18151,lara,sandurs,16,,,jimboomba,5014,qld,19920912,28,02 74718697,1422168,4
14411,lucy,mawhinney,1,brickhill place,whaleback golf course,newcomb,3149,vic,19521222,18,04 42953635,9707113,5
14391,jessica,richter,8,aspinall street,,o'connor,6147,qld,19631025,,,1661630,7
20831,nicholas,mcmurtry,868,fullagarcrescent,,deepwater,2067,vic,19460715,27,04 12584034,3860703,0
18791,timothy,wilson,7,atherton street,,bray parkn,2478,nsw,,35,02 90523015,6463529,2
9001,ethan,mac askill,20,madigan street,,hillman,4007,vic,19468609,28,,2271218,0
12711,,roberrs,8,currie crescent,,noosa heads,3064,sa,19141115,37,04 39503986,2514793,2
15841,emma,penfold,30,sullivan crescent,,currans hill,4305,nsw,19670318,,07 06550853,6191709,1
17751,maconal,littler,102,derrington crescent,cedar creek orchard,banora point,5301,qld,,34,02 41617758,6732483,2
481,kate,taylor,6,hardman street,,narrabundah,6055,tas,19448022,31,08 48097619,1049332,7
3231,alexandra,corcoran,,lynch street,posetto,browns plains,2512,,19631001,33,08 80190560,2058176,5
22631,michael,rashleigh,89,dookie street,merrigum,bun dall,2047,vic,19120531,22,04 48889421,8335953,8
24331,hugo,coppimg,34,grainger circuit,sanctuary village,ferntree gully,2064,nsw,19050821,32,03 42498162,1489142,5
5461,,ma,21,willcock place,,silvwn,4702,qld,19400704,32,02 73772710,2797536,8
15921,jackson,nomo,6,cromwell circuit,,point turton,,viv,19480502,29,08 56662637,5189246,8
19011,nathan,marks,2,haly place,,sunnybank hills,2002,sa,19030321,31,04 87540845,4729832,0
6481,jasper,cuffley,13,peat place,,montrose,2444,tas,19870922,35,08 72663575,6559153,1
7471,dylan,galdies,8,sturdee crescent,,glenelgeast,2486,nsw,19240102,29,08 33894749,8520831,6
6081,benjamin,morgan,21,noakes court,,runxorn,2046,vic,19751030,30,03 96199748,1809809,9
11341,philip,hinge,7,messengerestreet,,sorrento,2065,,,34,03 67549350,2258678,5
10061,dakota,pengilly,1,drake brockman drive,,riverwood,3101,qld,19571110,29,07 02395992,1919863,7
8371,thomas,faulkner,147,le hunte tsreet,greenslopes,echuca,3197,qld,19470630,25,08 93848618,7610978,7
23571,kasey,,22,colvin street,wangi pt tourist park,springfield,3201,wa,19099903,23,07 08082346,9778637,7
4841,eliza,block,28,tenison-woods circuit,,mentone,3205,nsw,19801102,27,08 33904074,9746376,6
13351,juliana,warner,84,dixon d rive,,regents park,3340,,19200327,35,07 39517373,3321208,2
5241,samuel,murphy,740,le gallienhe street,,leichhardt,2221,nsw,19190627,33,02 34614386,2806403,8
20911,angus,hewson,53,chippindall circuit,,toogoolawah,7190,qld,19811006,,08 38463262,1138840,6
23961,jacob,maloney,9,ivo whitton circuit,,nhulunbuy,4054,vic,19599014,24,08 76004196,5797628,1
19761,mia,,26,lawes place,,victor harrbor,2428,nsw,19421004,,03 62862448,8832506,5
12741,thomas,seton,53,ballard pace,,croydon park,2794,vic,,32,07 23842272,9719571,0
20931,ruby,siviour,348,moran place,,dover heghts,4753,vic,19140409,18,08 28392310,6622569,4
1091,ollie,ellerbeck,14,brierly street,,mitchell,4218,,,,04 92106052,1166937,7
10711,maria,dekker,25,backhouse street,cainbil,bridgewater,2200,nsw,19310226,24,07 33345617,2198759,6
4561,timothy,beechey,3,wongoola close,,courg,2821,qld,19010406,24,08 17290725,6100229,2
17031,petreece,bence,13,yambina crescent,,rydalmere,6000,tas,19441222,31,07 38844924,8063960,9
9771,daniel,,61,denison street,,huntly,2037,nsw,19690608,32,,2294575,8
10251,trey,pilkington,37,stevenson street,,quakers hill,3030,vic,,34,07 12827934,9122369,0
14171,steven,coker,29,lawley street,,berrimah,3107,vic,19990076,32,08 45416283,7823997,1
22281,andrew,holt,16,crisp circuit,the swamp,five dock,4300,nsw,19671002,,02 71443680,4876749,2
141,michael,dalbello,39,wattle treet,,bundoora,5151,nsw,19040503,32,02 00759474,6389679,2
7631,chelsea,,104,torrens street,,millmer,6100,qld,19100623,32,04 13528025,8127893,2
10951,natassia,hibbert,570,,,beacon hill,2160,nsw,19870127,20,02 66460481,2777101,4
6961,mia,mills,4,broadbent street,middle park,oxley,4017,vic,19190625,19,03 65193080,6867679,6
3691,james,plos,16,federal ighway,,nome,3216,vic,19810812,20,07 91083997,1198181,6
6701,james,blazely,56,beaurepaire cfescent,donside,croydon park,2795,vic,19150907,33,07 86486186,8659251,9
17241,samantha,jones,643,conyers street,amplgia,bentleigh east,4717,vic,19531226,18,04 74571834,4802818,1
