rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,age,phone_number,soc_sec_id,blocking_number
1030,jesse,mac indoe,42,donnison place,,brunswick,2590,act,19920919,,04 80497701,4437571,1
6580,emiily,roocke,16,herbert crescent,,murrumbeena,2256,,19880308,29,07 18074122,8303844,6
5750,aidan,reynolds,79,bougainville street,,withers,2141,nsw,19260513,,04 05383704,5743235,1
10160,thomas,finnigan,60,godfrey street,,dee why,6004,wa,19350929,42,07 45188282,9555453,2
6650,nicholas,smith,115,fisher street,nirvana,condobolin,5019,vic,19100408,,04 44426453,6913696,5
4290,harrison,jackson,7,garrad court,,highgate hill,4053,nsw,19520211,27,04 21644746,3890373,6
8630,kaitlin,lennon,108,foxall street,,penguin,4715,vic,19020911,36,07 08128408,2875188,0
6960,michael,barnet,34,hay street,,black river,5067,nsw,19500612,28,02 60600901,9479787,1
4580,hugo,fietz,15,sargeant place,pomeroy,chatswood,6051,vic,19500506,28,03 90176168,6235698,1
10960,genevieve,quinn,18,hindmarsh drive,,lane cove,6210,nsw,19590414,35,02 95190777,3409120,7
970,ethan,tonkin,95,james smith circuit,,chinderah,2290,nsw,19111106,18,04 44388037,9242580,6
5220,lily,steele,1021,chave street,carlyle garden,coolbellup,3122,,19770731,26,04 78764681,9021427,1
8810,laura,frew,,gruner street,,bentleigh east,2251,nsw,19810527,37,03 00563674,6982588,8
6320,,dumont,9,holden crescent,,culburra beach,2577,nsw,19720721,28,04 52200143,2649832,9
9800,makayla,young,19,,,grose vale,2101,vic,19280810,22,03 42434388,3779179,5
8410,abbey,,6,stapylton crescent,rawdon,koondoola,6112,sa,19110417,,03 73484072,4506183,4
6880,marco,rosbergen,88,barnard circuit,,beaconsfield,3160,,19721214,,08 87922009,8019736,2
4990,charlotte,spouse,22,alphard place,edenlea,black rock,2152,qld,19550905,35,,3585971,9
3160,tara,bagg,52,arndell street,silver sand caravan park,blacksmiths,2480,vic,19420725,25,07 67512678,1603449,5
4230,laura,sharpe,23,folingsby street,rockview,st helens,2486,act,19361023,38,03 35229432,3465379,2
9490,liam,hall,14,mugglestone place,,coonawarra,2767,vic,19350914,31,08 77880085,4110026,5
3340,imogen,leaker,4,harrington circuit,,mulgrave east,3044,nsw,19290318,29,07 42547837,5043484,9
7340,isabella,ansink,,sellwood street,,kilsyth,2810,vic,19010507,28,03 59136217,7405278,3
5260,lachlan,alsop,35,australie close,,cannon hill,4157,qld,19170622,25,07 32679842,3505715,0
11990,alexander,sparkman,8,launceston street,figlea,baulkham hills,4178,,19240213,32,03 21677295,2638777,7
670,sienna,contibas,67,goldner circuit,,st marys,4305,qld,19380815,32,04 23487468,5107966,1
4340,kane,atkinson,24,beetaloo street,little merridale,armidale,2168,nsw,19230412,25,04 62508140,5494588,7
3370,louis,beeslee,16,moulder court,,dalmeny,4034,,19570111,37,08 87861201,1515156,1
450,bradley,marchant,422,mount vernon drive,,hargraves,5083,qld,19391210,20,07 44747583,7437727,7
3680,lauren,tan,13,badimara street,rocky bend,kingston,6057,qld,,39,03 79627096,4491270,3
5930,joshua,cassimatis,,pomeroy street,,balwyn,6743,vic,19200102,,02 97371365,4162696,5
1870,ayden,smith,79,manifold place,oakdale,collingwood park,2540,qld,19060428,21,02 83862782,3252943,0
6470,chelsea,gallasch,15,macgregor street,,mooloolaba,3345,,19040831,28,,7313909,9
8750,tiarna,jones,24,tindall place,,coombabah,2487,nsw,19731230,,02 68375406,1912500,3
11010,nathan,deeker,18,laurie place,lamana,cooroy,,qld,19140108,,02 53915272,6650936,0
7830,kaitlin,lewin,25,notting court,aroa downs,alberton,2206,vic,19941016,28,02 81439045,1278169,6
8280,bailey,highman,42,benson crescent,gunnado,frankston,2620,sa,19471108,,08 19667103,6039348,4
11930,jack,gavric,13,blacket street,,eaton,3204,sa,19070823,27,07 44406586,3767846,8
70,zac,basford,106,carleton street,monterey keys,alphington,5606,,19590916,27,02 48886501,4604013,5
11190,caitlin,wilson,54,tenison-woods circuit,bowditch hstl,clayton,3105,vic,19230430,32,08 45313535,1427966,8
11820,evangelia,peppas,127,acacia place,,west hobart,2800,nsw,19270916,23,04 57289089,2420821,3
2440,chelsea,groves,17,dumas street,currong flats,murrumbeena,3805,nsw,19320730,,03 46402572,5729260,3
7490,adam,hill,256,meredith circuit,,avondale heights,3109,vic,19390719,37,03 29340726,3845917,4
6060,lachlan,thamm,84,cutlack street,,alstonville,4169,vic,19560904,34,08 23370221,2869111,9
9840,phillip,neill,7,robin place,woodburne,sorrento,3690,qld,19710915,,04 88714741,7943652,5
4840,joshua,marshall,43,carslaw street,,mount barker,2200,sa,19960620,31,08 15955293,5464398,7
