rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,age,phone_number,soc_sec_id,blocking_number
9904,haylee,,1,powersrreet,hayfield vlge,seaford,2514,qld,19560624,,04 42440720,5222224,6
29133,bela,valehte,8,amadioeolace,,port mcelbourne,4122,vif,19280831,21,08 44398423,9283767,3
5434,kimbreeoly,turner,,costellowdrcuit,,lane cove,5290,wa,,,08 89211617,8866229,3
20296,alanoah,bupb,15,webb place,,narromine,3181,ald,19030203,27,03 99874466,4928208,8
29923,samabyha,ramiet,394,allen place,,gloucester,4641,nsw,,,07 28045258,4437079,5
1125,liam,knape,20,headdyalace,,wentworxthville,2066,nsw,19226201,32,07 21998385,2628136,3
42591,blaiae,bawn,9,leslie street,mayfair stud,campbelslfoeld,5073,nsw,19480222,,02 16633695,2241572,8
14251,momiiqie,mccartney,35,,,mokrley,2317,nsw,19234012,32,,4468919,7
22328,jayden,galluccio,149,ward oiace,,leen,3148,nsw,19817027,30,04 65672342,2413505,7
33292,emiiy,jusx,142,french street,,toronto,3126,,19920321,,02 92235901,3708574,8
12093,avek,joanbou,28,yeo close,,aranda,7307,voj,19390801,40,04 32319113,9643265,2
30147,lucas,smith,35,campbeli street,,kalambunda,6230,s,19380426,,02 06327033,6287983,5
52924,jozls,johnson,6,goodchilttreet,,milura,7250,nsw,19460322,26,08 42383205,5148128,1
1122,liam,knaep,27,headdy place,,wentworthville,2066,,19208191,32,07 21998385,2628136,3
28206,shamal,skinner,2,kinsella srreet,,copacabna,3805,nsw,19946862,28,02 96175133,8580890,8
20474,dev n,rehn,142,street huibnkler,,boqral,3046,nsw,19080314,28,04 98530693,9126242,5
7864,maxin,bekwsi,19,daly street,,shellharour,5406,nsw,19830115,31,04 79003489,1733918,7
33437,aprkn o,western,3,launceston street,grosvenor,seven hills,3984,,19550214,28,02 48440428,8498975,8
49481,talah,valentine,,burniestqeet,,,2480,vic,19495008,34,07 32053315,7509834,8
27113,hayl,,1,strickland crescent,,kurralta park,3106,nsw,19863024,32,,8257084,3
12752,sarah,comacchio,77,givens street,shamrck,warrahwood,7015,vic,19440416,,07 67750662,6637551,0
49453,emiily,fitzgrafld,9,elmslie place,elwood,ivanoeoest,2646,qod,19048427,28,08 39754070,8830980,2
46083,brodee,jain,6,darling street,,woombye,3137,qw,19930370,23,02 97004957,5561269,7
30331,ethan,wiczsn,26,traeger street,heather brae,elwood,4740,,19936817,27,02 94260298,3850017,5
26121,connor,burn,8,,,greenbrough,5032,vijg,19840500,14,04 56290143,3752786,6
23381,jacob,sahhac,7,currie crwycent,edgerton,livetplool,3219,nsw,19006134,29,04 04364330,7581894,7
48224,shanay,ramsay,35,harpurssjreet,,murrumfeena,3116,,19200827,31,02 62196880,7844506,9
2134,benjain,mcmas on,47,severne crescent,highland pines,fairfel west,4300,vic,19215028,31,,2185627,7
11311,chrigtian,coatsworth,2,eaglemont nretreat,,cairas,2101,nsw,19330012,26,02 34080777,4994741,4
24121,lucas,cornelius,22,jemaloja street,,jerrabsberra,2203,sa,,41,07 10429700,6927813,0
9373,andrew,cornhez,1,coane street,bimbella,karratha,4511,nsw,19300201,19,08 99918625,8703988,9
44968,beneh,peters,127,sturt avenue,hollywood specialist centre,oakezy,2145,vic,19964017,,03 33482727,7326595,8
40296,carla,,64,sainsbury street,,safey vay,2251,qd,19030818,,02 84788151,6643983,5
3521,harvey,dorcey,29,southern croas drive,the village,2537,bonnel01 bay,qld,19308121,,02 99531733,5769659,1
22851,samuel,willians,281,rutherforl crescent,homewood pines,acacia ridge,2155,qld,19660462,,04 35987820,4587212,8
30944,jackson,hensnh,339,galleghax circuit,jarocin,hallett cove,7316,nsw,19830528,,07 02835709,9681613,2
4669,,mckay,,minehabmolace,locn 1815,the oaks,4511,tas,19229317,36,,4604026,8
41834,matthw,brain,7,anderson street,,lethbridgd park,2650,vid,19330723,,02 09188920,8687981,7
49084,chloe,walkea,37,greeves street,,briagolong,3585,nt,19605811,,03 37073642,5683482,1
9372,anst,corner,15,coane ste det,bimbella,karr atha,4519,nsw,19309691,19,07 67825411,6295879,9
