rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,age,phone_number,soc_sec_id,blocking_number
9690,danielle,ettridge,95,galway place,,st marys,2681,,,37,04 41339790,7252362,7
22980,mason,mcclement,12,burnie street,rosedale gorman,wycheproof,2234,nsw,19560608,,03 99577069,3788226,6
7440,georgia,correll,16,macrobertson street,bagadanara,branxton,3073,qld,,32,08 68113074,9300215,6
13600,zac,mcpherson,170,bonrook street,sunnybrae,brighton east,3087,nsw,19360906,31,08 78941919,8191328,5
20370,ryan,bromley,32,proserpine court,elovera,helensvale,2067,qld,19781214,36,07 96371952,1838402,2
27280,kaleb,medlock,14,jackie howe crescent,,port melbourne,3070,vic,19900517,29,07 85998405,3171322,7
27910,chloe,tones,3,rubbo crescent,,ferny hills,2213,qld,19600131,39,07 04650760,2249454,9
11230,alicia,kite,252,corona place,,scarborough,2750,vic,19040831,39,07 87125832,9652849,1
11960,charlotte,todd,35,ross smith crescent,,casino,4183,qld,19661226,25,03 72966922,4256808,1
24090,bianca,clark,56,looranah street,wooriwyrite,bendigo,2260,nsw,19901207,32,07 70756859,8051742,9
5630,anastasia,goldfinch,2,aspinall street,,bendigo north,4558,tas,19460212,35,03 72263739,8772569,3
19110,elysse,castle,16,thornley place,,noble park,6210,nt,19991210,36,04 01848411,8036546,3
8700,adam,jurd,19,loftus street,blackboy ridge,nerang,5075,nsw,19261204,,08 52124123,1204114,6
11290,emiily,young,43,sturdee crescent,,margate,4113,vic,19761127,26,08 48169673,8874337,0
14030,kyle,piller,7,renwick street,davrew,revesby,4300,,19550914,,04 46106198,4224065,9
11160,kaitlin,freeman,27,wollaston place,,mooloolaba,2804,qld,19020125,31,08 64119550,6481175,6
5780,james,schaefer,222,warabin crescent,,hornsby,4551,qld,19830711,28,02 33579259,4597631,7
10230,chloe,giorgio,23,dalman crescent,,malvern,4309,nsw,19951223,38,02 04023401,2005253,4
21750,georgina,cowling,3,belconnen way,loormeah,sunshine,2227,sa,19280916,33,04 41944998,6742939,4
1170,scott,dixie,62,newman morris circuit,,warrnambool,3032,sa,19431106,37,04 46373512,3970216,6
17760,tommy,stein,12,wentcher place,,bonville,2428,qld,19630512,,03 17399776,8528802,2
5410,isabella,wurranwilya,30,mctaggart crescent,,carlton north,2745,nsw,19710201,33,08 84231704,8597749,3
10160,charles,ha,70,,,highgate hill,4122,nsw,19101006,21,03 54700782,4237386,6
9960,dakota,giles,3,mckinnon street,bojalup,wanneroo,2060,wa,19741120,27,,3359620,9
2530,sidonie,newton,10,federal highway,,beecroft,6107,sa,19450829,28,04 70308168,4728253,7
23930,ruby,cresp,103,waddell place,,harlin,2036,nsw,19790316,33,07 06975406,3284016,2
28200,emma,bridge,45,daley crescent,,andrews,2092,nsw,19210418,32,08 19939687,9722989,7
25560,zachariah,dooley,57,elvire place,bushgate,scullin,2190,qld,19890116,24,04 91697023,2843033,3
13930,taylah,blowes,24,cossington smith crescent,eight division,sunnybank,4116,qld,,,08 61459198,3253233,1
