A	ID4447124106922810001	ANDERSON     	             	 	4848 	BASSWOOD            
A	ID4447124106922810003	ANDERSON     	             	 	4848 	BASSWOOD            
A	ID4447124106922810004	ANDERSON     	             	 	4848 	BASSWOOD            
A	ID4447124106922810002	ANDERSON     	             	 	4848 	BASSWOOD            
A	ID4447124106881610001	AQUENDO      	 CLARA       	J	666  	STARKEY             
A	ID4447124106879010001	BENITEZ      	 LEARONAD    	A	660  	STARKEY             
A	ID4447124106879010003	BENITEZ      	 SAMUEL      	R	660  	STARKEY             
A	ID4447124106879010002	BENITEZ      	 DELORES     	R	660  	STARKEY             
A	ID4447124106897210001	BODNER       	 JAMEL       	C	102  	BANK                
A	ID4447124106897210002	BODNER       	 ROSETTA     	L	102  	BANK                
A	ID4447124106897210003	BODNER       	 MADGE       	R	102  	BANK                
A	ID4447124106897210004	BODNER       	 ROSALIND    	N	102  	BANK                
A	ID4447124106897210005	BODNER       	 CAROLYN     	L	102  	BANK                
A	ID4447124106923610001	CENTURY      	 IVAN        	R	4906 	BASSWOOD            
A	ID4447124106923610002	CENTURY      	 RAMON       	L	4906 	BASSWOOD            
A	ID4447124106923610003	CENTURY      	 ALICIA      	B	4906 	BASSWOOD            
A	ID4447124106894910001	CHEESMAN     	 DONYA       	L	690  	STARKEY             
A	ID4447124106894910002	CHEESMAN     	 DONTE       	 	690  	STARKEY             
A	ID4447124106920210001	CONYERE      	 DOMINIQUE   	S	4836 	BASSWOOD            
A	ID4447124106920210002	CONYERE      	 CONNIE      	E	4836 	BASSWOOD            
A	ID4447124106912910004	COSGRAVE     	 SEKOV       	L	202  	BANK                
A	ID4447124106912910001	COSGRAVE     	 TIERRA      	 	202  	BANK                
A	ID4447124106912910003	COSGRAVE     	 THERSA      	G	202  	BANK                
A	ID4447124106912910002	COSGRAVE     	             	L	202  	BANK                
A	ID4447124106912910005	COSGRAVE     	             	C	202  	BANK                
A	ID4447124106899810001	DANIEL LEIVA 	 SAMMY       	J	729  	RIDLEY              
