B	ID444611561          	AHREWS       	 MARITZA     	A	345  	71ST                
B	ID444611563          	AHREWS       	 MARIANNA    	B	345  	71ST                
B	ID4447124106879010001	BENETAS      	 LENARD      	A	660  	STARKEY             
B	ID4447124106879010003	BENETAS      	 SAMMY       	R	660  	STARKEY             
B	ID4447124106879010002	BENETAS      	 DOLORES     	R	660  	STARKEY             
B	ID4447124106897210001	BODMER       	 JAMAR       	C	102  	BANKS               
B	ID4447124106897210002	BODMER       	 ROSSITA     	L	102  	BANKS               
B	ID4447124106897210003	BODMER       	 MAG         	R	102  	BANKS               
B	ID4447124106897210004	BODMER       	 ROZELLIN    	N	102  	BANKS               
B	ID4447124106897210005	BODMER       	 CATHERINE   	L	102  	BANKS               
B	ID4447124106907910001	CETO         	 J           	E	104  	MITCHELL            
B	ID4447124106894910001	CHEESEMAN    	 DANYA       	L	690  	STARKEY             
B	ID4447124106894910002	CHEESEMAN    	 DANTE       	E	690  	STARKEY             
B	ID4447124106920210001	CONNER       	 DOMINQUE    	S	4836 	BASSWIDE            
B	ID4447124106920210002	CONNER       	 COHNIE      	E	4836 	BASSWIDE            
B	ID4447124106912910004	COSGRAOE     	 SEKOU       	L	202  	BANKS               
B	ID4447124106912910001	COSGRAOE     	 TREIRA      	 	202  	BANKS               
B	ID4447124106912910003	COSGRAOE     	 THERESA     	G	202  	BANKS               
B	ID4447124106909510001	DACANAY      	 MICHAEL     	A	112  	MITCHELL            
B	ID4447124106909510002	DACANAY      	 A JASIA     	 	112  	MITCHELL            
B	ID4447124106909510003	DACANAY      	 BRIANCA     	G	112  	MITCHELL            
B	ID4447124106899810001	DANIEL-LEIVA 	 SAM         	J	729  	RIDLEY              
B	ID4447124106899810002	DANIEL-LEIVA 	 THAU LYNN   	R	729  	RIDLEY              
B	ID4447124106877410001	DIVER        	 MILFORD     	J	658  	STARKEY             
B	ID4447124106883210001	DOMINQUEZ    	 FRANK       	K	672  	STARKEY             
B	ID4447124106883210002	DOMINQUEZ    	 SHAVAN      	M	672  	STARKEY             
B	ID4446117397         	ENGELSKIRCH  	 ISAAE       	 	612  	STARKEY             
B	ID4446117398         	ENGELSKIRCH  	 JEANELLE    	 	612  	STARKEY             
B	ID444712426108480000 	FAIRIE       	 LOUIS       	W	4940 	BASSWOOD            
B	ID4447124106908710003	FISCHARUND   	 WESLEY      	M	110  	MITCHELL            
B	ID4447124106908710001	FISCHARUND   	 NADESHIA    	A	110  	MITCHELL            
B	ID4447124106908710002	FISCHARUND   	 DANYELLE    	L	110  	MITCHELL            
B	ID4446117475         	GECKLE       	 RUNEE       	 	614  	STARKEY             
B	ID4446117479         	GECKLE       	 RALPAL      	T	614  	STARKEY             
B	ID444611554          	GERING       	 RROBERT     	T	325  	71ST                
B	ID4447124106913710002	GERINGER     	 GHOLAN      	W	200  	BANK                
B	ID4447124106913710003	GERINGER     	 JEFFREY     	W	200  	BANK                
B	ID4447124106913710004	GERINGER     	 JEFFREY     	W	200  	BANK                
B	ID4447124106913710005	GERINGER     	 DOUGLASS    	D	200  	BANK                
B	ID4447124106913710001	GERINGER     	 MARIE       	T	200  	BANK                
B	ID444712410690380000 	GLICK        	 NATHANIAL   	N	725  	RIDLEY              
B	ID4447124106917810001	GREENE       	 TEMPEST     	Z	4816 	BASSWOOD            
B	ID4447124106916010001	HALL         	 RAYMON      	 	4810 	BASSWOOD            
B	ID4447124106924410001	HILLION      	 GEORGE      	L	4914 	BASSWOOD            
B	ID444712410689230000 	JEANS        	 KEYAN       	D	686  	STARKEY             
B	ID4447124106892310001	JEANS        	 MICHEAL     	 	686  	STARKEY             
B	ID4447124106892310002	JEANS        	 CASANDRA    	C	686  	STARKEY             
B	ID444712410688570000 	JIMEMEZ      	 SANDERA     	Y	674  	STARKEY             
B	ID4447124106885710001	JIMEMEZ      	 BARBRA      	M	674  	STARKEY             
B	ID4447124106910310001	JIMENEZ      	 IRWIN       	 	214  	BANKS               
B	ID4447124106910310003	JIMENEZ      	 ANDRE       	 	214  	BANKS               
B	ID4447124106910310002	JIMENEZ      	 WILHEMENIA  	 	214  	BANKS               
B	ID444712425879540000 	KELLEY       	 FREDRICK    	W	4932 	BASSWOOD            
B	ID4447124106911110002	LAKHTOSH     	 TONY        	M	206  	BANKS               
B	ID4447124106911110001	LAKHTOSH     	 DANIELLE    	S	206  	BANKS               
B	ID4447124106876610001	LASITTER     	 DORATHEA    	K	656  	STARKEY             
B	ID4447124106876610002	LASITTER     	 LELA        	M	656  	STARKEY             
B	ID4447124106887310002	MALDONABO    	 DWIGHT      	B	678  	STARKEY             
B	ID4447124106887310003	MALDONABO    	 MARQUIS     	E	678  	STARKEY             
B	ID4447124106887310001	MALDONABO    	 MABEL       	 	678  	STARKEY             
B	ID444611482          	MORGAN       	 DARYL       	A	7124 	3RD                 
B	ID444611486          	MORGAN       	 KEVEIN      	 	7124 	3RD                 
B	ID4447124106891510001	MOSGERA      	 HERMAN      	M	684  	STARKEY             
B	ID4447124106890710001	MOSGUERA     	 IASHA       	C	682  	STARKEY             
B	ID4447124106890710004	MOSGUERA     	 ANDRE       	G	682  	STARKEY             
B	ID4447124106890710002	MOSGUERA     	 ROMAINE     	O	682  	STARKEY             
B	ID4447124106890710003	MOSGUERA     	 TAWYA       	O	682  	STARKEY             
B	ID4447124106890710005	MOSGUERA     	 PRINCETTE   	D	682  	STARKEY             
B	ID4447124106890710006	MOSGUERA     	 KEISHA      	O	682  	STARKEY             
B	ID4447124106881610001	OQUENDO      	 CLAIRE      	J	666  	STARKEY             
B	ID4447124106919410002	PAIGE        	 XANTHA      	 	4830 	BASSWOOD            
B	ID4447124106886510001	PARRA        	 JEMOS       	V	676  	STARKEY             
B	ID4447124106874110001	RAUST        	 ANN         	N	652  	STARKEY             
